ANC,Ted Stevens Anchorage International Airport,Anchorage,AK
ELP,El Paso International Airport,El Paso,TX
OKC,Will Rogers World Airport,Oklahoma City,OK
SMF,Sacramento International Airport,Sacramento,CA
BUR,Bob Hope Airport,Burbank,CA
RNO,Reno Tahoe International Airport,Reno,NV
PBI,Palm Beach International Airport,West Palm Beach,FL
OGG,Kahului Airport,Kahului,HI
ORF,Norfolk International Airport,Norfolk,VA
OMA,Eppley Airfield,Omaha,NE
PVD,Theodore Francis Green State Airport,Providence,RI
LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA
SDF,Louisville Muhammad Ali International Airport,Louisville,KY
CHS,Charleston Air Force Base-International Airport,Charleston,SC
SYR,Syracuse Hancock International Airport,Syracuse,NY
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL
BOI,Boise Air Terminal/Gowen Field,Boise,ID
SAV,Savannah Hilton Head International Airport,Savannah,GA
RIC,Richmond International Airport,Richmond,VA
ALB,Albany International Airport,Albany,NY
ONT,Ontario International Airport,Ontario,CA
HPN,Westchester County Airport,White Plains,NY
OSH,Wittman Regional Airport,Oshkosh,WI
GEG,Spokane International Airport,Spokane,WA
RSW,Southwest Florida International Airport,Fort Myers,FL
DAY,James M Cox Dayton International Airport,Dayton,OH
MSN,Dane County Regional Truax Field,Madison,WI
ICT,Wichita Eisenhower National Airport,Wichita,KS
ROC,Greater Rochester International Airport,Rochester,NY
TUL,Tulsa International Airport,Tulsa,OK
PWM,Portland International Jetport,Portland,ME
MHT,Manchester-Boston Regional Airport,Manchester,NH
KOA,Ellison Onizuka Kona International At Keahole Airport,Kailua/Kona,HI
DSM,Des Moines International Airport,Des Moines,IA
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO
GRR,Gerald R. Ford International Airport,Grand Rapids,MI
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,AR
PSP,Palm Springs International Airport,Palm Springs,CA
SBA,Santa Barbara Municipal Airport,Santa Barbara,CA
BTV,Burlington International Airport,Burlington,VT
PNS,Pensacola International Airport,Pensacola,FL
TYS,McGhee Tyson Airport,Knoxville,TN
GSO,Piedmont Triad International Airport,Greensboro,NC
BFI,Boeing Field King County International Airport,Seattle,WA
VGT,North Las Vegas Airport,Las Vegas,NV
MRY,Monterey Peninsula Airport,Monterey,CA
TEB,Teterboro Airport,Teterboro,NJ
TLH,Tallahassee Regional Airport,Tallahassee,FL
LEX,Blue Grass Airport,Lexington,KY
GSP,Greenville Spartanburg International Airport,Greenville,SC
RAP,Rapid City Regional Airport,Rapid City,SD
SRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,FL
BGR,Bangor International Airport,Bangor,ME
EYW,Key West International Airport,Key West,FL
DAB,Daytona Beach International Airport,Daytona Beach,FL
PIE,St Petersburg Clearwater International Airport,St Petersburg-Clearwater,FL
SMO,Santa Monica Municipal Airport,Santa Monica,CA
LBB,Lubbock Preston Smith International Airport,Lubbock,TX
SAF,Santa Fe Municipal Airport,Santa Fe,NM
FAT,Fresno Yosemite International Airport,Fresno,CA
VNY,Van Nuys Airport,Van Nuys,CA
CHA,Lovell Field,Chattanooga,TN
CAK,Akron Canton Regional Airport,Akron,OH
PDK,DeKalb Peachtree Airport,Atlanta,GA
NEW,Lakefront Airport,New Orleans,LA
AMA,Rick Husband Amarillo International Airport,Amarillo,TX
FXE,Fort Lauderdale Executive Airport,Fort Lauderdale,FL
MYF,Montgomery-Gibbs Executive Airport,San Diego,CA
GRB,Austin Straubel International Airport,Green Bay,WI
MDT,Harrisburg International Airport,Harrisburg,PA
APA,Centennial Airport,Denver,CO
ISM,Kissimmee Gateway Airport,Orlando,FL
CAE,Columbia Metropolitan Airport,Columbia,SC
BLI,Bellingham International Airport,Bellingham,WA
CHO,Charlottesville Albemarle Airport,Charlottesville,VA
LIH,Lihue Airport,Lihue,HI
AVL,Asheville Regional Airport,Asheville,NC
SBN,South Bend Regional Airport,South Bend,IN
SBP,San Luis County Regional Airport,San Luis Obispo,CA
SFB,Orlando Sanford International Airport,Orlando,FL
SCF,Scottsdale Airport,Scottsdale,AZ
CID,The Eastern Iowa Airport,Cedar Rapids,IA
JAC,Jackson Hole Airport,Jackson,WY
BIL,Billings Logan International Airport,Billings,MT
SGF,Springfield Branson National Airport,Springfield,MO
,Camarillo Airport,Camarillo,CA
CCR,Buchanan Field,Concord,CA
APC,Napa County Airport,Napa,CA
MYR,Myrtle Beach International Airport,Myrtle Beach,SC
GNV,Gainesville Regional Airport,Gainesville,FL
ITO,Hilo International Airport,Hilo,HI
PAO,Palo Alto Airport of Santa Clara County,Palo Alto,CA
HSV,Huntsville International Carl T Jones Field,Huntsville,AL
MOB,Mobile Regional Airport,Mobile,AL
ISP,Long Island Mac Arthur Airport,Islip,NY
STS,Charles M. Schulz Sonoma County Airport,Santa Rosa,CA
LVK,Livermore Municipal Airport,Livermore,CA
SDX,Sedona Airport,Sedona,AZ
EUG,Mahlon Sweet Field,Eugene,OR
PRC,Prescott Regional Airport - Ernest A. Love Field,Prescott,AZ
SAC,Sacramento Executive Airport,Sacramento,CA
CLD,Mc Clellan-Palomar Airport,Carlsbad,CA
FWA,Fort Wayne International Airport,Fort Wayne,IN
SWF,New York Stewart International Airport,Newburgh,NY
LAL,Lakeland Linder International Airport,Lakeland,FL
OPF,Miami-Opa Locka Executive Airport,Miami,FL
ORL,Orlando Executive Airport,Orlando,FL
SQL,San Carlos Airport,San Carlos,CA
AVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,PA
FAI,Fairbanks International Airport,Fairbanks,AK
APF,Naples Municipal Airport,Naples,FL
FSD,Joe Foss Field Airport,Sioux Falls,SD
BED,Laurence G Hanscom Field,Bedford,MA
HSH,Henderson Executive Airport,Las Vegas,NV
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA
DLH,Duluth International Airport,Duluth,MN
ABE,Lehigh Valley International Airport,Allentown,PA
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO
WVI,Watsonville Municipal Airport,Watsonville,CA
RST,Rochester International Airport,Rochester,MN
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ
PRB,Paso Robles Municipal Airport,Paso Robles,CA
FAR,Hector International Airport,Fargo,ND
ADS,Addison Airport,Dallas,TX
UST,Northeast Florida Regional Airport,St Augustine,FL
JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,MS
ILM,Wilmington International Airport,Wilmington,NC
CRW,Yeager Airport,Charleston,WV
MSO,Missoula International Airport,Missoula,MT
LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,OH
PUB,Pueblo Memorial Airport,Pueblo,CO
HWD,Hayward Executive Airport,Hayward,CA
GCN,Grand Canyon National Park Airport,Grand Canyon,AZ
GTF,Great Falls International Airport,Great Falls,MT
LNK,Lincoln Airport,Lincoln,NE
PAE,Snohomish County (Paine Field) Airport,Everett,WA
BKL,Burke Lakefront Airport,Cleveland,OH
ROA,Roanoke–Blacksburg Regional Airport,Roanoke,VA
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,MI
MLB,Melbourne International Airport,Melbourne,FL
MAF,Midland International Airport,Midland,TX
VRB,Vero Beach Regional Airport,Vero Beach,FL
RBF,Big Bear City Airport,Big Bear,CA
MVY,Martha's Vineyard Airport,Martha's Vineyard,MA
DVT,Phoenix Deer Valley Airport,Phoenix,AZ
GPT,Gulfport Biloxi International Airport,Gulfport,MS
CMI,University of Illinois Willard Airport,Champaign/Urbana,IL
MFR,Rogue Valley International Medford Airport,Medford,OR
YUM,Yuma MCAS/Yuma International Airport,Yuma,AZ
FTW,Fort Worth Meacham International Airport,Fort Worth,TX
AZA,Phoenix-Mesa-Gateway Airport,Phoenix,AZ
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR
AVX,Catalina Airport,Avalon,CA
MSC,Falcon Field,Mesa,AZ
CRP,Corpus Christi International Airport,Corpus Christi,TX
BIS,Bismarck Municipal Airport,Bismarck,ND
FNT,Bishop International Airport,Flint,MI
GJT,Grand Junction Regional Airport,Grand Junction,CO
LAN,Capital City Airport,Lansing,MI
BFL,Meadows Field,Bakersfield,CA
TVL,Lake Tahoe Airport,South Lake Tahoe,CA
SGU,St George Municipal Airport,St George,UT
SEE,Gillespie Field,San Diego/El Cajon,CA
RHV,Reid-Hillview Airport of Santa Clara County,San Jose,CA
,Nut Tree Airport,Vacaville,CA
SHV,Shreveport Regional Airport,Shreveport,LA
PHF,Newport News Williamsburg International Airport,Newport News,VA
ACK,Nantucket Memorial Airport,Nantucket,MA
EGE,Eagle County Regional Airport,Eagle,CO
FRG,Republic Airport,Farmingdale,NY
FRD,Friday Harbor Airport,Friday Harbor,WA
RBK,French Valley Airport,Murrieta/Temecula,CA
TOL,Toledo Express Airport,Toledo,OH
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,WY
MFE,Mc Allen Miller International Airport,Mc Allen,TX
RDD,Redding Municipal Airport,Redding,CA
SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,CA
GON,Groton New London Airport,Groton (New London),CT
HIO,Portland Hillsboro Airport,Portland,OR
COA,Columbia Airport,Columbia,CA
FUL,Fullerton Municipal Airport,Fullerton,CA
DWH,David Wayne Hooks Memorial Airport,Houston,TX
,Petaluma Municipal Airport,Petaluma,CA
,Tracy Municipal Airport,Tracy,CA
AGS,Augusta Regional At Bush Field,Augusta,GA
MLI,Quad City International Airport,Moline,IL
MGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,AL
ELM,Elmira Corning Regional Airport,Elmira/Corning,NY
IFP,Laughlin Bullhead International Airport,Bullhead City,AZ
IAG,Niagara Falls International Airport,Niagara Falls,NY
OXR,Oxnard Airport,Oxnard,CA
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,IL
EVV,Evansville Regional Airport,Evansville,IN
BZN,Gallatin Field,Bozeman,MT
BDR,Igor I Sikorsky Memorial Airport,Bridgeport,CT
CLL,Easterwood Field,College Station,TX
ACT,Waco Regional Airport,Waco,TX
MKC,Charles B. Wheeler Downtown Airport,Kansas City,MO
POU,Dutchess County Airport,Poughkeepsie,NY
BJC,Rocky Mountain Metropolitan Airport,Denver,CO
HFD,Hartford Brainard Airport,Hartford,CT
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY
MTH,The Florida Keys Marathon Airport,Marathon,FL
PGA,Page Municipal Airport,Page,AZ
TKF,Truckee Tahoe Airport,Truckee,CA
HAF,Half Moon Bay Airport,Half Moon Bay,CA
TOA,Zamperini Field,Torrance,CA
TRI,Tri-Cities Regional TN/VA Airport,Bristol/Johnson/Kingsport,TN
ACY,Atlantic City International Airport,Atlantic City,NJ
PSM,Portsmouth International at Pease Airport,Portsmouth,NH
FTY,Fulton County Airport Brown Field,Atlanta,GA
OGD,Ogden Hinckley Airport,Ogden,UT
FPR,St Lucie County International Airport,Fort Pierce,FL
CRG,Jacksonville Executive at Craig Airport,Jacksonville,FL
SDM,Brown Field Municipal Airport,San Diego,CA
,Harris Ranch Airport,Coalinga,CA
HII,Lake Havasu City Airport,Lake Havasu City,AZ
NOT,Marin County Airport - Gnoss Field,Novato,CA
RFD,Chicago Rockford International Airport,Chicago/Rockford,IL
HYA,Barnstable Municipal Boardman Polando Field,Hyannis,MA
LSE,La Crosse Municipal Airport,La Crosse,WI
TVC,Cherry Capital Airport,Traverse City,MI
MOD,Modesto City Co-Harry Sham Field,Modesto,CA
GLS,Scholes International At Galveston Airport,Galveston,TX
ATW,Appleton International Airport,Appleton,WI
CDW,Essex County Airport,Caldwell,NJ
CGZ,Casa Grande Municipal Airport,Casa Grande,AZ
CNO,Chino Airport,Chino,CA
FFA,First Flight Airport,Kill Devil Hills,NC
PGD,Charlotte County Airport,Punta Gorda,FL
CPR,Casper-Natrona County International Airport,Casper,WY
FSM,Fort Smith Regional Airport,Fort Smith,AR
AHN,Athens Ben Epps Airport,Athens,GA
GFK,Grand Forks International Airport,Grand Forks,ND
IDA,Idaho Falls Regional Airport,Idaho Falls,ID
SJT,San Angelo Regional Mathis Field,San Angelo,TX
TTN,Trenton Mercer Airport,Trenton,NJ
LNS,Lancaster Airport,Lancaster,PA
ORH,Worcester Regional Airport,Worcester,MA
SCK,Stockton Metropolitan Airport,Stockton,CA
BLH,Blythe Airport,Blythe,CA
WJF,General WM J Fox Airfield,Lancaster,CA
TMB,Miami Executive Airport,Miami,FL
TRM,Jacqueline Cochran Regional Airport,Palm Springs,CA
RBL,Red Bluff Municipal Airport,Red Bluff,CA
MHR,Sacramento Mather Airport,Sacramento,CA
SSI,St Simons Island Airport,St Simons Island,GA
AUN,Auburn Municipal Airport,Auburn,CA
,Byron Airport,Byron,CA
RBD,Dallas Executive Airport,Dallas,TX
FCM,Flying Cloud Airport,Minneapolis,MN
PWA,Wiley Post Airport,Oklahoma City,OK
IPT,Williamsport Regional Airport,Williamsport,PA
DET,Coleman A. Young Municipal Airport,Detroit,MI
IGM,Kingman Airport,Kingman,AZ
ABI,Abilene Regional Airport,Abilene,TX
RAL,Riverside Municipal Airport,Riverside,CA
,Cobb County-Mc Collum Field,Atlanta,GA
EEN,Dillant Hopkins Airport,Keene,NH
FDK,Frederick Municipal Airport,Frederick,MD
HHH,Hilton Head Airport,Hilton Head Island,SC
LCI,Laconia Municipal Airport,Laconia,NH
MNZ,Manassas Regional Airport/Harry P. Davis Field,Manassas,VA
ASH,Boire Field,Nashua,NH
OCF,Ocala International Airport - Jim Taylor Field,Ocala,FL
RNT,Renton Municipal Airport,Renton,WA
PSC,Tri Cities Airport,Pasco,WA
GFL,Floyd Bennett Memorial Airport,Glens Falls,NY
MER,Castle Airport,Merced,CA
IPL,Imperial County Airport,Imperial,CA
DRO,Durango La Plata County Airport,Durango,CO
LZU,Gwinnett County Briscoe Field,Lawrenceville,GA
MEV,Minden-Tahoe Airport,Minden,NV
BRO,Brownsville South Padre Island International Airport,Brownsville,TX
CDC,Cedar City Regional Airport,Cedar City,UT
FAY,Fayetteville Regional Grannis Field,Fayetteville,NC
,Panama City-Bay Co International Airport,Panama City,FL
TYR,Tyler Pounds Regional Airport,Tyler,TX
HVN,Tweed New Haven Airport,New Haven,CT
SNS,Salinas Municipal Airport,Salinas,CA
OSU,The Ohio State University Airport - Don Scott Field,Columbus,OH
SCE,University Park Airport,State College,PA
,Chandler Municipal Airport,Chandler,AZ
PWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,IL
LXV,Lake County Airport,Leadville,CO
,Ryan Field,Tucson,AZ
VPS,Destin-Ft Walton Beach Airport,Valparaiso,FL
HRL,Valley International Airport,Harlingen,TX
HLN,Helena Regional Airport,Helena,MT
LRD,Laredo International Airport,Laredo,TX
YIP,Willow Run Airport,Detroit,MI
MMU,Morristown Municipal Airport,Morristown,NJ
,Mc Minnville Municipal Airport,Mc Minnville,OR
HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,CA
FNL,Northern Colorado Regional Airport,Fort Collins/Loveland,CO
OWD,Norwood Memorial Airport,Norwood,MA
,San Martin Airport,San Martin,CA
GIF,Winter Haven Regional Airport - Gilbert Field,Winter Haven,FL
SPI,Abraham Lincoln Capital Airport,Springfield,IL
BGM,Greater Binghamton/Edwin A Link field,Binghamton,NY
CNM,Cavern City Air Terminal,Carlsbad,NM
CSG,Columbus Metropolitan Airport,Columbus,GA
SLN,Salina Municipal Airport,Salina,KS
JNU,Juneau International Airport,Juneau,AK
BAF,Westfield-Barnes Regional Airport,Westfield/Springfield,MA
PTK,Oakland County International Airport,Pontiac,MI
MCC,Mc Clellan Airfield,Sacramento,CA
DPA,Dupage Airport,Chicago/West Chicago,IL
FMY,Page Field,Fort Myers,FL
,Arlington Municipal Airport,Arlington,WA
,Clermont County Airport,Batavia,OH
DSI,Destin Executive Airport,Destin,FL
HLI,Hollister Municipal Airport,Hollister,CA
JVL,Southern Wisconsin Regional Airport,Janesville,WI
,Flagler Executive Airport,Palm Coast,FL
PVF,Placerville Airport,Placerville,CA
PVC,Provincetown Municipal Airport,Provincetown,MA
SUA,Witham Field,Stuart,FL
ERI,Erie International Tom Ridge Field,Erie,PA
SUX,Sioux Gateway Airport/Brigadier General Bud Day Field,Sioux City,IA
EAU,Chippewa Valley Regional Airport,Eau Claire,WI
MOT,Minot International Airport,Minot,ND
LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE
EKO,Elko Regional Airport,Elko,NV
LCK,Rickenbacker International Airport,Columbus,OH
SUS,Spirit of St Louis Airport,St Louis,MO
FCA,Glacier Park International Airport,Kalispell,MT
STP,St Paul Downtown Holman Field,St Paul,MN
OLM,Olympia Regional Airport,Olympia,WA
TIX,Space Coast Regional Airport,Titusville,FL
UKI,Ukiah Municipal Airport,Ukiah,CA
BHB,Hancock County-Bar Harbor Airport,Bar Harbor,ME
BRD,Brainerd Lakes Regional Airport,Brainerd,MN
CRE,Grand Strand Airport,North Myrtle Beach,SC
BID,Block Island State Airport,Block Island,RI
CIC,Chico Municipal Airport,Chico,CA
EMT,San Gabriel Valley Airport,El Monte,CA
POC,Brackett Field,La Verne,CA
OCN,Oceanside Municipal Airport,Oceanside,CA
PHK,Palm Beach County Glades Airport,Pahokee,FL
VNC,Venice Municipal Airport,Venice,FL
VIS,Visalia Municipal Airport,Visalia,CA
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,TX
MLU,Monroe Regional Airport,Monroe,LA
MBS,MBS International Airport,Saginaw,MI
LEB,Lebanon Municipal Airport,Lebanon,NH
BWG,Bowling Green Warren County Regional Airport,Bowling Green,KY
PWT,Bremerton National Airport,Bremerton,WA
GMU,Greenville Downtown Airport,Greenville,SC
SGR,Sugar Land Regional Airport,Houston,TX
LOU,Bowman Field,Louisville,KY
APV,Apple Valley Airport,Apple Valley,CA
BLD,Boulder City Municipal Airport,Boulder City,NV
,Hernando County Airport,Brooksville,FL
,Denton Municipal Airport,Denton,TX
,Georgetown Municipal Airport,Georgetown,TX
HMT,Hemet Ryan Airport,Hemet,CA
CKE,Lampson Field,Lakeport,CA
,Anoka County-Blaine (Janes Field) Airport,Minneapolis,MN
,Rio Vista Municipal Airport,Rio Vista,CA
LFT,Lafayette Regional Airport,Lafayette,LA
AEX,Alexandria International Airport,Alexandria,LA
GRI,Central Nebraska Regional Airport,Grand Island,NE
HOT,Memorial Field,Hot Springs,AR
PIR,Pierre Regional Airport,Pierre,SD
MQT,Sawyer International Airport,Marquette,MI
LWM,Lawrence Municipal Airport,Lawrence,MA
CON,Concord Municipal Airport,Concord,NH
DAG,Barstow Daggett Airport,Daggett,CA
PVU,Provo Municipal Airport,Provo,UT
RVS,Richard Lloyd Jones Jr Airport,Tulsa,OK
ARB,Ann Arbor Municipal Airport,Ann Arbor,MI
BCT,Boca Raton Airport,Boca Raton,FL
BXS,Borrego Valley Airport,Borrego Springs,CA
,Vance Brand Airport,Longmont,CO
DBQ,Dubuque Regional Airport,Dubuque,IA
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,CA
COU,Columbia Regional Airport,Columbia,MO
LMT,Crater Lake-Klamath Regional Airport,Klamath Falls,OR
LBE,Arnold Palmer Regional Airport,Latrobe,PA
GGG,East Texas Regional Airport,Longview,TX
LYH,Lynchburg Regional Preston Glenn Field,Lynchburg,VA
RDG,Reading Regional Carl A Spaatz Field,Reading,PA
ROW,Roswell International Air Center Airport,Roswell,NM
SBY,Salisbury Ocean City Wicomico Regional Airport,Salisbury,MD
AFW,Fort Worth Alliance Airport,Fort Worth,TX
AGC,Allegheny County Airport,Pittsburgh,PA
CXO,Conroe-North Houston Regional Airport,Houston,TX
WYS,Yellowstone Airport,West Yellowstone,MT
COE,Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,ID
MCE,Merced Regional Macready Field,Merced,CA
PNE,Northeast Philadelphia Airport,Philadelphia,PA
PUW,Pullman Moscow Regional Airport,Pullman/Moscow,WA
SBD,San Bernardino International Airport,San Bernardino,CA
,Double Eagle II Airport,Albuquerque,NM
,Corona Municipal Airport,Corona,CA
DXR,Danbury Municipal Airport,Danbury,CT
RMY,Mariposa Yosemite Airport,Mariposa,CA
CNY,Canyonlands Field,Moab,UT
,Oceano County Airport,Oceano,CA
PJB,Payson Airport,Payson,AZ
,Ramona Airport,Ramona,CA
,Scappoose Industrial Airpark,Scappoose,OR
OTK,Tillamook Airport,Tillamook,OR
,Williamsburg Jamestown Airport,Williamsburg,VA
WLW,Willows Glenn County Airport,Willows,CA
GCK,Garden City Regional Airport,Garden City,KS
MEI,Key Field,Meridian,MS
ILG,New Castle Airport,Wilmington,DE
YNG,Youngstown Warren Regional Airport,Youngstown/Warren,OH
TIW,Tacoma Narrows Airport,Tacoma,WA
AST,Astoria Regional Airport,Astoria,OR
,Aurora State Airport,Aurora,OR
EED,Needles Airport,Needles,CA
WWD,Cape May County Airport,Wildwood,NJ
,Arlington Municipal Airport,Arlington,TX
,Bend Municipal Airport,Bend,OR
,Brenham Municipal Airport,Brenham,TX
,Cameron Park Airport,Cameron Park,CA
ESD,Orcas Island Airport,Eastsound,WA
FLD,Fond du Lac County Airport,Fond du Lac,WI
MRK,Marco Island Executive Airport,Marco Island,FL
MHV,Mojave Airport,Mojave,CA
,Ormond Beach Municipal Airport,Ormond Beach,FL
SFZ,North Central State Airport,Pawtucket,RI
,Shelter Cove Airport,Shelter Cove,CA
SPG,Albert Whitted Airport,St Petersburg,FL
BPT,Southeast Texas Regional Airport,Beaumont/Port Arthur,TX
MHK,Manhattan Regional Airport,Manhattan,KS
OTH,Southwest Oregon Regional Airport,North Bend,OR
PAH,Barkley Regional Airport,Paducah,KY
RDM,Roberts Field,Redmond,OR
ALO,Waterloo Regional Airport,Waterloo,IA
HUT,Hutchinson Municipal Airport,Hutchinson,KS
ALS,San Luis Valley Regional Bergman Field,Alamosa,CO
FDY,Findlay Airport,Findlay,OH
ENW,Kenosha Regional Airport,Kenosha,WI
LEE,Leesburg International Airport,Leesburg,FL
SSF,Stinson Municipal Airport,San Antonio,TX
,San Marcos Regional Airport,San Marcos,TX
TOP,Philip Billard Municipal Airport,Topeka,KS
ENV,Wendover Airport,Wendover,UT
INW,Winslow Lindbergh Regional Airport,Winslow,AZ
,Peachtree City Falcon Field,Atlanta,GA
WBU,Boulder Municipal Airport,Boulder,CO
MVW,Skagit Regional Airport,Burlington/Mount Vernon,WA
CPS,St Louis Downtown Airport,Cahokia/St Louis,IL
,Crystal River Airport,Crystal River,FL
DTH,Furnace Creek Airport,Death Valley National Park,CA
,Fitchburg Municipal Airport,Fitchburg,MA
GXY,Greeley–Weld County Airport,Greeley,CO
HWO,North Perry Airport,Hollywood,FL
,Eagle Creek Airpark,Indianapolis,IN
,Lincoln Regional Karl Harder Field,Lincoln,CA
,Little River Airport,Little River,CA
SQA,Santa Ynez Airport,Santa Ynez,CA
GKT,Gatlinburg-Pigeon Forge Airport,Sevierville,TN
PIH,Pocatello Regional Airport,Pocatello,ID
RKS,Southwest Wyoming Regional Airport,Rock Springs,WY
STC,St Cloud Regional Airport,St Cloud,MN
RUT,Rutland - Southern Vermont Regional Airport,Rutland,VT
INT,Smith Reynolds Airport,Winston Salem,NC
FMN,Four Corners Regional Airport,Farmington,NM
GLD,Renner Field-Goodland Municipal Airport,Goodland,KS
EFD,Ellington Airport,Houston,TX
LWS,Lewiston Nez Perce County Airport,Lewiston,ID
,Cartersville Airport,Cartersville,GA
,George T Lewis Airport,Cedar Key,FL
,Charleston Executive Airport,Charleston,SC
USA,Concord-Padgett Regional Airport,Concord,NC
,Collin County Regional At Mc Kinney Airport,Dallas,TX
,Fallbrook Community Airpark,Fallbrook,CA
GVL,Lee Gilmer Memorial Airport,Gainesville,GA
,Nevada County Airport,Grass Valley,CA
HDN,Yampa Valley Airport,Hayden,CO
HCC,Columbia County Airport,Hudson,NY
,Hampton Roads Executive Airport,Norfolk,VA
SZP,Santa Paula Airport,Santa Paula,CA
,Harvey Field,Snohomish,WA
SHD,Shenandoah Valley Regional Airport,Staunton/Waynesboro/Harrisonburg,VA
,Minute Man Air Field,Stow,MA
AVW,Marana Regional Airport,Tucson,AZ
ABY,Southwest Georgia Regional Airport,Albany,GA
DHN,Dothan Regional Airport,Dothan,AL
FLO,Florence Regional Airport,Florence,SC
PLN,Pellston Regional Airport of Emmet County Airport,Pellston,MI
CLM,William R Fairchild International Airport,Port Angeles,WA
ADW,Joint Base Andrews,Camp Springs,MD
SKF,Lackland Air Force Base,San Antonio,TX
TCL,Tuscaloosa Regional Airport,Tuscaloosa,AL
SFF,Felts Field,Spokane,WA
BFM,Mobile Downtown Airport,Mobile,AL
MRI,Merrill Field,Anchorage,AK
BCE,Bryce Canyon Airport,Bryce Canyon,UT
MTJ,Montrose Regional Airport,Montrose,CO
CWA,Central Wisconsin Airport,Mosinee,WI
TPH,Tonopah Airport,Tonopah,NV
ADM,Ardmore Municipal Airport,Ardmore,OK
